text,priority,category,is_fake
unlit area reported by residents of MG Road.,Low,Safety,0
unsafe crossing reported by residents of River Bank.,Low,Safety,0
Urgent attention required for broken fence in Sector 4.,High,Safety,0
Urgent attention required for broken road in City Center.,High,Roads,0
We are facing speed breaker issue problems in Underpass.,Medium,Roads,0
Complaining about unsafe crossing near Underpass.,Low,Safety,0
We are facing broken fence problems in Flyover.,Low,Safety,0
transformer spark reported by residents of MG Road.,High,Electricity,0
Urgent attention required for road blocked in City Center.,High,Traffic,0
We are facing pipe burst problems in 5th Avenue.,High,Water Supply,0
Complaining about bad smell near Highway 66.,Medium,Sanitation,0
Urgent attention required for suspicious activity in 5th Avenue.,High,Safety,0
Complaining about transformer spark near MG Road.,High,Electricity,0
dating site 587,Low,Spam,1
Please fix the bus stop broken near 5th Avenue.,Low,Public Transport,0
Complaining about road blocked near Flyover.,Low,Traffic,0
We are facing bus stop broken problems in Flyover.,Low,Public Transport,0
Urgent attention required for park maintenance in Main St.,High,General,0
There is a sewage overflow at Underpass.,Medium,Sanitation,0
Please fix the street light off near Market Area.,High,Electricity,0
Complaining about overflowing dustbin near Railway Station.,Medium,Sanitation,0
Please fix the park maintenance near River Bank.,Low,General,0
Complaining about bus late near City Center.,Low,Public Transport,0
overflowing dustbin reported by residents of Gandhi Nagar.,Medium,Sanitation,0
Complaining about electric pole fell near Flyover.,High,Electricity,0
We are facing overcrowded bus problems in Suburbs.,Low,Public Transport,0
"Severe loud music observed at 5th Avenue, urgent help needed.",High,Noise,0
Please fix the bad smell near Underpass.,Medium,Sanitation,0
"Severe suspicious activity observed at Hospital Road, urgent help needed.",High,Safety,0
Urgent attention required for garbage pile in Highway 66.,High,Sanitation,0
There is a late night party at Sector 4.,Low,Noise,0
"Severe request information observed at Market Area, urgent help needed.",High,General,0
Complaining about water leakage near Highway 66.,High,Water Supply,0
Complaining about general query near MG Road.,Low,General,0
The stray dogs at Suburbs is very dangerous.,High,Safety,0
We are facing sewage overflow problems in Hospital Road.,Medium,Sanitation,0
We are facing request information problems in Hospital Road.,Low,General,0
There is a low pressure at City Center.,High,Water Supply,0
We are facing pothole problems in Bus Stand.,Medium,Roads,0
"Severe power cut observed at Hospital Road, urgent help needed.",High,Electricity,0
dead animal reported by residents of Sector 4.,Medium,Sanitation,0
We are facing overcrowded bus problems in Hospital Road.,Low,Public Transport,0
We are facing park maintenance problems in Flyover.,Low,General,0
There is a sewage overflow at River Bank.,Medium,Sanitation,0
road blocked reported by residents of Market Area.,Low,Traffic,0
Urgent attention required for park maintenance in MG Road.,High,General,0
Complaining about overcrowded bus near Main St.,Low,Public Transport,0
The late night party at Bus Stand is very dangerous.,High,Noise,0
speed breaker issue reported by residents of Main St.,Medium,Roads,0
There is a request information at Underpass.,Low,General,0
Please fix the construction noise near Gandhi Nagar.,Low,Noise,0
Complaining about dirty water near Railway Station.,High,Water Supply,0
"Severe sewage overflow observed at Main St, urgent help needed.",High,Sanitation,0
The loud music at Gandhi Nagar is very dangerous.,High,Noise,0
"Severe stray dogs observed at Industrial Area, urgent help needed.",High,Safety,0
road blocked reported by residents of Market Area.,Low,Traffic,0
request information reported by residents of Central Park.,Low,General,0
"Severe uneven surface observed at Underpass, urgent help needed.",High,Roads,0
"Severe uneven surface observed at Gandhi Nagar, urgent help needed.",High,Roads,0
Please fix the loud music near Main St.,Low,Noise,0
We are facing general query problems in River Bank.,Low,General,0
unsafe crossing reported by residents of Highway 66.,Low,Safety,0
The garbage pile at City Center is very dangerous.,High,Sanitation,0
Urgent attention required for illegal parking in Sector 4.,High,Traffic,0
park maintenance reported by residents of School Zone.,Low,General,0
The broken fence at Sector 4 is very dangerous.,High,Safety,0
Please fix the electric pole fell near Bus Stand.,High,Electricity,0
Please fix the illegal parking near Industrial Area.,Low,Traffic,0
The road blocked at Industrial Area is very dangerous.,High,Traffic,0
Complaining about wrong side driving near Underpass.,Low,Traffic,0
The bus late at City Center is very dangerous.,High,Public Transport,0
power cut reported by residents of Market Area.,High,Electricity,0
"Severe contaminated water observed at Market Area, urgent help needed.",High,Water Supply,0
pothole reported by residents of Gandhi Nagar.,Medium,Roads,0
general query reported by residents of Suburbs.,Low,General,0
There is a manhole open at Bus Stand.,Medium,Roads,0
power cut reported by residents of Gandhi Nagar.,High,Electricity,0
Please fix the transformer spark near Sector 4.,High,Electricity,0
The broken fence at Sector 4 is very dangerous.,High,Safety,0
Urgent attention required for unsafe crossing in MG Road.,High,Safety,0
Urgent attention required for low pressure in Central Park.,High,Water Supply,0
"Severe rude conductor observed at Main St, urgent help needed.",High,Public Transport,0
"Severe uneven surface observed at Hospital Road, urgent help needed.",High,Roads,0
"Severe hanging wires observed at 5th Avenue, urgent help needed.",High,Electricity,0
Complaining about unsafe crossing near Suburbs.,Low,Safety,0
Please fix the power cut near 5th Avenue.,High,Electricity,0
The bad smell at Sector 4 is very dangerous.,High,Sanitation,0
Urgent attention required for garbage pile in Flyover.,High,Sanitation,0
Please fix the loud music near River Bank.,Low,Noise,0
Urgent attention required for bad road condition in 5th Avenue.,High,Roads,0
Complaining about overflowing dustbin near 5th Avenue.,Medium,Sanitation,0
factory noise reported by residents of Central Park.,Low,Noise,0
Please fix the no water supply near Market Area.,High,Water Supply,0
We are facing general query problems in Underpass.,Low,General,0
Complaining about overcrowded bus near Market Area.,Low,Public Transport,0
"Severe manhole open observed at Suburbs, urgent help needed.",High,Roads,0
free money 437,Low,Spam,1
factory noise reported by residents of Main St.,Low,Noise,0
There is a transformer spark at Bus Stand.,High,Electricity,0
Please fix the traffic signal broken near MG Road.,Low,Traffic,0
There is a low pressure at Highway 66.,High,Water Supply,0
transformer spark reported by residents of Main St.,High,Electricity,0
Complaining about late night party near City Center.,Low,Noise,0
There is a overcrowded bus at Railway Station.,Low,Public Transport,0
Complaining about suspicious activity near Industrial Area.,Low,Safety,0
garbage pile reported by residents of Market Area.,Medium,Sanitation,0
wrong side driving reported by residents of Main St.,Low,Traffic,0
Please fix the request information near Central Park.,Low,General,0
wrong side driving reported by residents of Bus Stand.,Low,Traffic,0
There is a construction noise at 5th Avenue.,Low,Noise,0
Complaining about transformer spark near Market Area.,High,Electricity,0
"Severe dirty water observed at 5th Avenue, urgent help needed.",High,Water Supply,0
Please fix the lost property near Railway Station.,Low,General,0
We are facing pothole problems in Railway Station.,Medium,Roads,0
We are facing garbage pile problems in Industrial Area.,Medium,Sanitation,0
We are facing transformer spark problems in Underpass.,High,Electricity,0
There is a suspicious activity at 5th Avenue.,Low,Safety,0
lost property reported by residents of Highway 66.,Low,General,0
The garbage pile at Railway Station is very dangerous.,High,Sanitation,0
There is a low pressure at Railway Station.,High,Water Supply,0
There is a broken fence at Industrial Area.,Low,Safety,0
The loud music at Highway 66 is very dangerous.,High,Noise,0
The clogged drain at Sector 4 is very dangerous.,High,Sanitation,0
Complaining about overcrowded bus near Central Park.,Low,Public Transport,0
Urgent attention required for park maintenance in Underpass.,High,General,0
"Severe bus late observed at Suburbs, urgent help needed.",High,Public Transport,0
crypto investment 372,Low,Spam,1
There is a transformer spark at City Center.,High,Electricity,0
uneven surface reported by residents of Highway 66.,Medium,Roads,0
"Severe factory noise observed at Bus Stand, urgent help needed.",High,Noise,0
The factory noise at Underpass is very dangerous.,High,Noise,0
"Severe park maintenance observed at Central Park, urgent help needed.",High,General,0
We are facing unsafe crossing problems in Industrial Area.,Low,Safety,0
The garbage pile at River Bank is very dangerous.,High,Sanitation,0
dating site 241,Low,Spam,1
Please fix the wrong side driving near Highway 66.,Low,Traffic,0
Complaining about bus stop broken near MG Road.,Low,Public Transport,0
We are facing pipe burst problems in Sector 4.,High,Water Supply,0
dating site 781,Low,Spam,1
stray dogs reported by residents of Flyover.,Low,Safety,0
There is a street light off at City Center.,High,Electricity,0
Please fix the electric pole fell near Underpass.,High,Electricity,0
Complaining about request information near Central Park.,Low,General,0
There is a lost property at Bus Stand.,Low,General,0
We are facing broken road problems in Industrial Area.,Medium,Roads,0
"Severe transformer spark observed at Railway Station, urgent help needed.",High,Electricity,0
There is a pipe burst at School Zone.,High,Water Supply,0
"Severe water leakage observed at School Zone, urgent help needed.",High,Water Supply,0
We are facing power cut problems in River Bank.,High,Electricity,0
There is a pipe burst at City Center.,High,Water Supply,0
construction noise reported by residents of Underpass.,Low,Noise,0
The construction noise at Market Area is very dangerous.,High,Noise,0
Urgent attention required for broken fence in Gandhi Nagar.,High,Safety,0
Complaining about dead animal near Industrial Area.,Medium,Sanitation,0
We are facing overflowing dustbin problems in School Zone.,Medium,Sanitation,0
Complaining about overcrowded bus near Underpass.,Low,Public Transport,0
late night party reported by residents of Underpass.,Low,Noise,0
no water supply reported by residents of Underpass.,High,Water Supply,0
Please fix the bus stop broken near City Center.,Low,Public Transport,0
We are facing request information problems in 5th Avenue.,Low,General,0
Please fix the factory noise near MG Road.,Low,Noise,0
clogged drain reported by residents of Railway Station.,Medium,Sanitation,0
cheap meds 914,Low,Spam,1
power cut reported by residents of 5th Avenue.,High,Electricity,0
Please fix the general query near Flyover.,Low,General,0
There is a wrong side driving at Underpass.,Low,Traffic,0
Complaining about general query near Hospital Road.,Low,General,0
"Severe power cut observed at Gandhi Nagar, urgent help needed.",High,Electricity,0
"Severe hanging wires observed at Highway 66, urgent help needed.",High,Electricity,0
There is a bus late at Railway Station.,Low,Public Transport,0
construction noise reported by residents of Flyover.,Low,Noise,0
Complaining about street light off near MG Road.,High,Electricity,0
The illegal parking at City Center is very dangerous.,High,Traffic,0
We are facing bus late problems in Flyover.,Low,Public Transport,0
We are facing power cut problems in Main St.,High,Electricity,0
"Severe water leakage observed at Highway 66, urgent help needed.",High,Water Supply,0
"Severe garbage pile observed at Gandhi Nagar, urgent help needed.",High,Sanitation,0
Urgent attention required for request information in River Bank.,High,General,0
We are facing factory noise problems in Railway Station.,Low,Noise,0
Urgent attention required for unsafe crossing in Market Area.,High,Safety,0
The road blocked at Sector 4 is very dangerous.,High,Traffic,0
The bad road condition at Bus Stand is very dangerous.,High,Roads,0
We are facing bus stop broken problems in Gandhi Nagar.,Low,Public Transport,0
"Severe lost property observed at Flyover, urgent help needed.",High,General,0
Urgent attention required for request information in Market Area.,High,General,0
"Severe manhole open observed at Industrial Area, urgent help needed.",High,Roads,0
"Severe factory noise observed at Sector 4, urgent help needed.",High,Noise,0
"Severe bus stop broken observed at Flyover, urgent help needed.",High,Public Transport,0
"Severe rude conductor observed at Bus Stand, urgent help needed.",High,Public Transport,0
There is a bus stop broken at Suburbs.,Low,Public Transport,0
Complaining about lost property near Suburbs.,Low,General,0
Urgent attention required for construction noise in Central Park.,High,Noise,0
We are facing factory noise problems in Highway 66.,Low,Noise,0
Urgent attention required for rude conductor in Hospital Road.,High,Public Transport,0
Please fix the park maintenance near Flyover.,Low,General,0
We are facing overflowing dustbin problems in Flyover.,Medium,Sanitation,0
Urgent attention required for stray dogs in MG Road.,High,Safety,0
"Severe bad smell observed at Central Park, urgent help needed.",High,Sanitation,0
Urgent attention required for late night party in MG Road.,High,Noise,0
Please fix the illegal parking near 5th Avenue.,Low,Traffic,0
Urgent attention required for no water supply in Gandhi Nagar.,High,Water Supply,0
request information reported by residents of Sector 4.,Low,General,0
We are facing dirty water problems in MG Road.,High,Water Supply,0
We are facing dirty water problems in Underpass.,High,Water Supply,0
Complaining about water leakage near Underpass.,High,Water Supply,0
Urgent attention required for no water supply in River Bank.,High,Water Supply,0
We are facing road blocked problems in River Bank.,Low,Traffic,0
We are facing lost property problems in Sector 4.,Low,General,0
There is a manhole open at Sector 4.,Medium,Roads,0
We are facing bus late problems in Market Area.,Low,Public Transport,0
The overcrowded bus at Main St is very dangerous.,High,Public Transport,0
Complaining about request information near MG Road.,Low,General,0
Complaining about illegal parking near Underpass.,Low,Traffic,0
There is a bad road condition at Flyover.,Medium,Roads,0
Complaining about unsafe crossing near Underpass.,Low,Safety,0
There is a rude conductor at 5th Avenue.,Low,Public Transport,0
Complaining about construction noise near City Center.,Low,Noise,0
crypto investment 823,Low,Spam,1
There is a traffic jam at Hospital Road.,Low,Traffic,0
factory noise reported by residents of Industrial Area.,Low,Noise,0
The late night party at Railway Station is very dangerous.,High,Noise,0
Please fix the request information near Gandhi Nagar.,Low,General,0
Urgent attention required for hanging wires in Railway Station.,High,Electricity,0
Complaining about electric pole fell near Sector 4.,High,Electricity,0
Please fix the bad smell near Highway 66.,Medium,Sanitation,0
We are facing electric pole fell problems in Railway Station.,High,Electricity,0
We are facing traffic signal broken problems in Flyover.,Low,Traffic,0
There is a loud music at Underpass.,Low,Noise,0
We are facing unlit area problems in Central Park.,Low,Safety,0
There is a bad road condition at Bus Stand.,Medium,Roads,0
There is a unsafe crossing at 5th Avenue.,Low,Safety,0
Complaining about suspicious activity near Flyover.,Low,Safety,0
The bus late at Sector 4 is very dangerous.,High,Public Transport,0
The late night party at Hospital Road is very dangerous.,High,Noise,0
We are facing electric pole fell problems in MG Road.,High,Electricity,0
Urgent attention required for road blocked in Flyover.,High,Traffic,0
Urgent attention required for bus late in MG Road.,High,Public Transport,0
Urgent attention required for unsafe crossing in Highway 66.,High,Safety,0
We are facing contaminated water problems in Industrial Area.,High,Water Supply,0
Complaining about overflowing dustbin near Hospital Road.,Medium,Sanitation,0
bad smell reported by residents of City Center.,Medium,Sanitation,0
The bus stop broken at School Zone is very dangerous.,High,Public Transport,0
Please fix the loud music near 5th Avenue.,Low,Noise,0
Complaining about traffic jam near 5th Avenue.,Low,Traffic,0
We are facing unlit area problems in Industrial Area.,Low,Safety,0
The road blocked at School Zone is very dangerous.,High,Traffic,0
We are facing low pressure problems in Industrial Area.,High,Water Supply,0
We are facing garbage pile problems in River Bank.,Medium,Sanitation,0
We are facing low pressure problems in Market Area.,High,Water Supply,0
"Severe lost property observed at Railway Station, urgent help needed.",High,General,0
Please fix the water leakage near Highway 66.,High,Water Supply,0
low pressure reported by residents of Highway 66.,High,Water Supply,0
Complaining about power cut near Main St.,High,Electricity,0
clogged drain reported by residents of School Zone.,Medium,Sanitation,0
We are facing street light off problems in Gandhi Nagar.,High,Electricity,0
The broken fence at 5th Avenue is very dangerous.,High,Safety,0
Complaining about bus late near Suburbs.,Low,Public Transport,0
subscribe for free 378,Low,Spam,1
park maintenance reported by residents of Underpass.,Low,General,0
verify account 383,Low,Spam,1
Urgent attention required for illegal parking in Flyover.,High,Traffic,0
"Severe traffic jam observed at Underpass, urgent help needed.",High,Traffic,0
Complaining about power cut near Bus Stand.,High,Electricity,0
Please fix the lost property near School Zone.,Low,General,0
There is a dead animal at Central Park.,Medium,Sanitation,0
The broken fence at Market Area is very dangerous.,High,Safety,0
The traffic signal broken at Bus Stand is very dangerous.,High,Traffic,0
Urgent attention required for suspicious activity in Railway Station.,High,Safety,0
We are facing suspicious activity problems in Underpass.,Low,Safety,0
There is a wrong side driving at MG Road.,Low,Traffic,0
The bus stop broken at MG Road is very dangerous.,High,Public Transport,0
job offer 335,Low,Spam,1
Urgent attention required for overcrowded bus in Main St.,High,Public Transport,0
Urgent attention required for bus stop broken in Highway 66.,High,Public Transport,0
Please fix the bad smell near Railway Station.,Medium,Sanitation,0
We are facing road blocked problems in 5th Avenue.,Low,Traffic,0
The construction noise at Sector 4 is very dangerous.,High,Noise,0
"Severe street light off observed at Central Park, urgent help needed.",High,Electricity,0
The dead animal at MG Road is very dangerous.,High,Sanitation,0
"Severe rude conductor observed at 5th Avenue, urgent help needed.",High,Public Transport,0
Please fix the rude conductor near Industrial Area.,Low,Public Transport,0
Complaining about bus late near City Center.,Low,Public Transport,0
There is a overflowing dustbin at Flyover.,Medium,Sanitation,0
subscribe for free 862,Low,Spam,1
traffic jam reported by residents of Underpass.,Low,Traffic,0
Complaining about bus late near Industrial Area.,Low,Public Transport,0
There is a water leakage at Hospital Road.,High,Water Supply,0
"Severe illegal parking observed at Bus Stand, urgent help needed.",High,Traffic,0
Complaining about request information near Underpass.,Low,General,0
There is a dead animal at School Zone.,Medium,Sanitation,0
The broken fence at Suburbs is very dangerous.,High,Safety,0
We are facing transformer spark problems in MG Road.,High,Electricity,0
There is a late night party at City Center.,Low,Noise,0
The sewage overflow at Hospital Road is very dangerous.,High,Sanitation,0
Please fix the pothole near Industrial Area.,Medium,Roads,0
Complaining about bad road condition near School Zone.,Medium,Roads,0
The electric pole fell at Industrial Area is very dangerous.,High,Electricity,0
The overflowing dustbin at Gandhi Nagar is very dangerous.,High,Sanitation,0
traffic jam reported by residents of Underpass.,Low,Traffic,0
We are facing unlit area problems in Central Park.,Low,Safety,0
Urgent attention required for suspicious activity in Market Area.,High,Safety,0
general query reported by residents of City Center.,Low,General,0
request information reported by residents of Railway Station.,Low,General,0
The wrong side driving at School Zone is very dangerous.,High,Traffic,0
Urgent attention required for rude conductor in Hospital Road.,High,Public Transport,0
"Severe construction noise observed at 5th Avenue, urgent help needed.",High,Noise,0
Complaining about factory noise near Sector 4.,Low,Noise,0
Urgent attention required for unlit area in MG Road.,High,Safety,0
factory noise reported by residents of Market Area.,Low,Noise,0
uneven surface reported by residents of Sector 4.,Medium,Roads,0
Please fix the no water supply near Railway Station.,High,Water Supply,0
Urgent attention required for loud music in Underpass.,High,Noise,0
There is a bus stop broken at Railway Station.,Low,Public Transport,0
There is a lost property at Hospital Road.,Low,General,0
Please fix the low pressure near Sector 4.,High,Water Supply,0
The garbage pile at Central Park is very dangerous.,High,Sanitation,0
The wrong side driving at Gandhi Nagar is very dangerous.,High,Traffic,0
The street light off at Main St is very dangerous.,High,Electricity,0
"Severe illegal parking observed at Railway Station, urgent help needed.",High,Traffic,0
Please fix the traffic jam near 5th Avenue.,Low,Traffic,0
We are facing rude conductor problems in School Zone.,Low,Public Transport,0
Please fix the bad road condition near Sector 4.,Medium,Roads,0
"Severe water leakage observed at Main St, urgent help needed.",High,Water Supply,0
The clogged drain at Market Area is very dangerous.,High,Sanitation,0
The construction noise at Hospital Road is very dangerous.,High,Noise,0
We are facing general query problems in Railway Station.,Low,General,0
unlit area reported by residents of City Center.,Low,Safety,0
There is a no water supply at Industrial Area.,High,Water Supply,0
The factory noise at School Zone is very dangerous.,High,Noise,0
Please fix the broken fence near Flyover.,Low,Safety,0
Urgent attention required for road blocked in Railway Station.,High,Traffic,0
The construction noise at Industrial Area is very dangerous.,High,Noise,0
Please fix the dirty water near Highway 66.,High,Water Supply,0
There is a wrong side driving at Industrial Area.,Low,Traffic,0
Please fix the clogged drain near Railway Station.,Medium,Sanitation,0
There is a pothole at Bus Stand.,Medium,Roads,0
transformer spark reported by residents of Market Area.,High,Electricity,0
Urgent attention required for general query in Gandhi Nagar.,High,General,0
"Severe sewage overflow observed at City Center, urgent help needed.",High,Sanitation,0
Urgent attention required for factory noise in Bus Stand.,High,Noise,0
We are facing pipe burst problems in Highway 66.,High,Water Supply,0
Urgent attention required for no water supply in Market Area.,High,Water Supply,0
Please fix the wrong side driving near Market Area.,Low,Traffic,0
The unsafe crossing at Sector 4 is very dangerous.,High,Safety,0
Complaining about rude conductor near Flyover.,Low,Public Transport,0
"Severe stray dogs observed at Suburbs, urgent help needed.",High,Safety,0
The request information at Industrial Area is very dangerous.,High,General,0
The construction noise at Market Area is very dangerous.,High,Noise,0
We are facing broken road problems in Central Park.,Medium,Roads,0
"Severe general query observed at 5th Avenue, urgent help needed.",High,General,0
There is a construction noise at Market Area.,Low,Noise,0
Please fix the garbage pile near River Bank.,Medium,Sanitation,0
The sewage overflow at Suburbs is very dangerous.,High,Sanitation,0
"Severe pothole observed at Bus Stand, urgent help needed.",High,Roads,0
Please fix the dead animal near Gandhi Nagar.,Medium,Sanitation,0
Complaining about transformer spark near Underpass.,High,Electricity,0
Complaining about unlit area near Market Area.,Low,Safety,0
"Severe late night party observed at River Bank, urgent help needed.",High,Noise,0
The clogged drain at Sector 4 is very dangerous.,High,Sanitation,0
The street light off at Railway Station is very dangerous.,High,Electricity,0
Complaining about construction noise near Bus Stand.,Low,Noise,0
"Severe factory noise observed at Main St, urgent help needed.",High,Noise,0
Please fix the traffic signal broken near Flyover.,Low,Traffic,0
Complaining about water leakage near Underpass.,High,Water Supply,0
loud music reported by residents of River Bank.,Low,Noise,0
There is a power cut at Underpass.,High,Electricity,0
Complaining about pothole near Bus Stand.,Medium,Roads,0
The lost property at City Center is very dangerous.,High,General,0
We are facing road blocked problems in Industrial Area.,Low,Traffic,0
The overflowing dustbin at Bus Stand is very dangerous.,High,Sanitation,0
We are facing bus late problems in School Zone.,Low,Public Transport,0
We are facing low pressure problems in Sector 4.,High,Water Supply,0
road blocked reported by residents of City Center.,Low,Traffic,0
Urgent attention required for wrong side driving in School Zone.,High,Traffic,0
Please fix the late night party near Industrial Area.,Low,Noise,0
"Severe park maintenance observed at Suburbs, urgent help needed.",High,General,0
Complaining about water leakage near MG Road.,High,Water Supply,0
Urgent attention required for traffic signal broken in Underpass.,High,Traffic,0
"Severe dead animal observed at City Center, urgent help needed.",High,Sanitation,0
speed breaker issue reported by residents of River Bank.,Medium,Roads,0
Please fix the traffic signal broken near Railway Station.,Low,Traffic,0
There is a street light off at MG Road.,High,Electricity,0
broken road reported by residents of River Bank.,Medium,Roads,0
"Severe broken fence observed at Bus Stand, urgent help needed.",High,Safety,0
The loud music at Market Area is very dangerous.,High,Noise,0
There is a loud music at School Zone.,Low,Noise,0
The traffic signal broken at Railway Station is very dangerous.,High,Traffic,0
late night party reported by residents of Highway 66.,Low,Noise,0
Urgent attention required for traffic jam in Central Park.,High,Traffic,0
Complaining about wrong side driving near Industrial Area.,Low,Traffic,0
"Severe construction noise observed at Industrial Area, urgent help needed.",High,Noise,0
We are facing contaminated water problems in Gandhi Nagar.,High,Water Supply,0
There is a hanging wires at Underpass.,High,Electricity,0
We are facing transformer spark problems in Railway Station.,High,Electricity,0
We are facing pothole problems in School Zone.,Medium,Roads,0
park maintenance reported by residents of Underpass.,Low,General,0
"Severe road blocked observed at Hospital Road, urgent help needed.",High,Traffic,0
Complaining about loud music near MG Road.,Low,Noise,0
Urgent attention required for uneven surface in Central Park.,High,Roads,0
subscribe for free 870,Low,Spam,1
broken fence reported by residents of Market Area.,Low,Safety,0
The rude conductor at School Zone is very dangerous.,High,Public Transport,0
The broken road at School Zone is very dangerous.,High,Roads,0
"Severe contaminated water observed at Sector 4, urgent help needed.",High,Water Supply,0
There is a road blocked at Sector 4.,Low,Traffic,0
general query reported by residents of MG Road.,Low,General,0
loud music reported by residents of Industrial Area.,Low,Noise,0
"Severe traffic jam observed at Railway Station, urgent help needed.",High,Traffic,0
We are facing lost property problems in MG Road.,Low,General,0
lottery winner 806,Low,Spam,1
"Severe lost property observed at Gandhi Nagar, urgent help needed.",High,General,0
overcrowded bus reported by residents of Central Park.,Low,Public Transport,0
"Severe contaminated water observed at Flyover, urgent help needed.",High,Water Supply,0
Complaining about overflowing dustbin near Industrial Area.,Medium,Sanitation,0
"Severe factory noise observed at Bus Stand, urgent help needed.",High,Noise,0
The traffic signal broken at Underpass is very dangerous.,High,Traffic,0
Urgent attention required for speed breaker issue in Main St.,High,Roads,0
job offer 517,Low,Spam,1
The bad road condition at Market Area is very dangerous.,High,Roads,0
sewage overflow reported by residents of MG Road.,Medium,Sanitation,0
"Severe traffic jam observed at Suburbs, urgent help needed.",High,Traffic,0
The transformer spark at Underpass is very dangerous.,High,Electricity,0
Please fix the transformer spark near Gandhi Nagar.,High,Electricity,0
electric pole fell reported by residents of Sector 4.,High,Electricity,0
buy watches 789,Low,Spam,1
There is a request information at Flyover.,Low,General,0
We are facing stray dogs problems in Underpass.,Low,Safety,0
Complaining about traffic signal broken near Suburbs.,Low,Traffic,0
power cut reported by residents of Bus Stand.,High,Electricity,0
bad smell reported by residents of Sector 4.,Medium,Sanitation,0
Please fix the traffic jam near City Center.,Low,Traffic,0
Complaining about garbage pile near Suburbs.,Medium,Sanitation,0
unlit area reported by residents of River Bank.,Low,Safety,0
The late night party at Gandhi Nagar is very dangerous.,High,Noise,0
We are facing suspicious activity problems in Highway 66.,Low,Safety,0
Complaining about overflowing dustbin near Market Area.,Medium,Sanitation,0
We are facing bus late problems in River Bank.,Low,Public Transport,0
Urgent attention required for bus stop broken in Railway Station.,High,Public Transport,0
"Severe park maintenance observed at School Zone, urgent help needed.",High,General,0
There is a park maintenance at Suburbs.,Low,General,0
"Severe road blocked observed at Flyover, urgent help needed.",High,Traffic,0
There is a speed breaker issue at Gandhi Nagar.,Medium,Roads,0
The bus late at Underpass is very dangerous.,High,Public Transport,0
Please fix the late night party near Main St.,Low,Noise,0
Urgent attention required for park maintenance in Market Area.,High,General,0
Please fix the sewage overflow near Highway 66.,Medium,Sanitation,0
We are facing clogged drain problems in School Zone.,Medium,Sanitation,0
There is a factory noise at Flyover.,Low,Noise,0
subscribe for free 614,Low,Spam,1
Urgent attention required for speed breaker issue in Sector 4.,High,Roads,0
The power cut at Main St is very dangerous.,High,Electricity,0
dating site 412,Low,Spam,1
"Severe factory noise observed at Central Park, urgent help needed.",High,Noise,0
The water leakage at Bus Stand is very dangerous.,High,Water Supply,0
dating site 214,Low,Spam,1
earn from home 494,Low,Spam,1
Urgent attention required for broken fence in River Bank.,High,Safety,0
Complaining about bus stop broken near Highway 66.,Low,Public Transport,0
The lost property at Underpass is very dangerous.,High,General,0
We are facing contaminated water problems in Sector 4.,High,Water Supply,0
lost property reported by residents of Market Area.,Low,General,0
Complaining about overflowing dustbin near 5th Avenue.,Medium,Sanitation,0
Urgent attention required for suspicious activity in Bus Stand.,High,Safety,0
Complaining about request information near Market Area.,Low,General,0
suspicious activity reported by residents of Market Area.,Low,Safety,0
illegal parking reported by residents of City Center.,Low,Traffic,0
We are facing traffic signal broken problems in Industrial Area.,Low,Traffic,0
construction noise reported by residents of Bus Stand.,Low,Noise,0
We are facing request information problems in Underpass.,Low,General,0
Urgent attention required for electric pole fell in Underpass.,High,Electricity,0
Please fix the lost property near Main St.,Low,General,0
Complaining about bad road condition near Market Area.,Medium,Roads,0
construction noise reported by residents of Underpass.,Low,Noise,0
The late night party at Hospital Road is very dangerous.,High,Noise,0
wrong side driving reported by residents of Market Area.,Low,Traffic,0
Please fix the factory noise near Industrial Area.,Low,Noise,0
There is a request information at Underpass.,Low,General,0
There is a pipe burst at Suburbs.,High,Water Supply,0
The no water supply at Railway Station is very dangerous.,High,Water Supply,0
"Severe general query observed at Underpass, urgent help needed.",High,General,0
Complaining about power cut near Main St.,High,Electricity,0
We are facing no water supply problems in Highway 66.,High,Water Supply,0
We are facing garbage pile problems in Gandhi Nagar.,Medium,Sanitation,0
Complaining about general query near Suburbs.,Low,General,0
We are facing clogged drain problems in Sector 4.,Medium,Sanitation,0
We are facing contaminated water problems in Gandhi Nagar.,High,Water Supply,0
The hanging wires at Hospital Road is very dangerous.,High,Electricity,0
Complaining about late night party near City Center.,Low,Noise,0
uneven surface reported by residents of Main St.,Medium,Roads,0
"Severe broken fence observed at Central Park, urgent help needed.",High,Safety,0
Complaining about pipe burst near Market Area.,High,Water Supply,0
Complaining about unsafe crossing near School Zone.,Low,Safety,0
"Severe request information observed at Market Area, urgent help needed.",High,General,0
We are facing stray dogs problems in 5th Avenue.,Low,Safety,0
There is a transformer spark at Main St.,High,Electricity,0
Complaining about request information near Gandhi Nagar.,Low,General,0
There is a contaminated water at Gandhi Nagar.,High,Water Supply,0
The broken fence at Flyover is very dangerous.,High,Safety,0
There is a power cut at Railway Station.,High,Electricity,0
There is a road blocked at Main St.,Low,Traffic,0
There is a unlit area at Suburbs.,Low,Safety,0
"Severe overflowing dustbin observed at Flyover, urgent help needed.",High,Sanitation,0
Please fix the request information near Main St.,Low,General,0
sign up now 421,Low,Spam,1
construction noise reported by residents of Main St.,Low,Noise,0
Please fix the bus late near Highway 66.,Low,Public Transport,0
